InstitutionID,Symbol,ShortName,EndDate,TotalShare,UnCriculationShares,CirculatingShares,LmtdStateOwnedShares,LmtdStateOwnedSharesRatio,EquityStructureDiversity,MixedEquityStructureOrNOT,NSttOwnedShrhlderRatioSum,OwnershipConcentration,NSttOwnedShrhlderPartic,EquityBalance,EquityIntegration,EquityStrucHerfindalIndex,EquityStrucEntropyIndex,Score_NonStateCapital,Score_EquityDiversity,Score_EquityBalance,Score_EquityIntegration,Score_OpenGovernance,MixedOwnershipScore,MixedOwnershipLevel,ReformStatus
101741,000807,云铝股份,2025-12-31,3467957405.0,36304.0,3467921101.0,,,4.0,1,11.3,55.92,0.2021,38.8316,25.325,0.6582,0.6596,16.29,14.58,10.75,7.58,10.16,59.37,中度混改,正在进行混改
101779,000026,飞亚达,2025-12-31,405764007.0,622340.0,405141667.0,,,4.0,1,10.92,51.09,0.2137,27.1845,27.1845,0.6395,0.6946,16.21,14.91,10.31,7.8,10.1,59.33,中度混改,正在进行混改
107891,600829,人民同泰,2025-12-31,579888597.0,0.0,579888597.0,,,4.0,1,76.27,76.27,1.0,101.938,,0.9625,0.1108,30.0,10.18,9.53,7.5,2.07,59.28,中度混改,正在进行混改
105970,600099,林海股份,2025-12-31,219120000.0,0.0,219120000.0,,,4.0,1,11.77,53.87,0.2185,27.9572,27.9572,0.6452,0.6427,16.6,14.43,10.13,7.89,10.14,59.2,中度混改,正在进行混改
102166,002598,山东章鼓,2024-12-31,312034351.0,29954099.0,282080252.0,,,2.0,1,15.6,45.4,0.3436,52.349,52.349,0.5489,0.6434,19.14,7.43,13.01,9.85,9.74,59.18,中度混改,正在进行混改
10186334,300962,中金辐照,2024-12-31,264001897.0,,264001897.0,,,3.0,1,19.44,73.64,0.264,35.8672,35.8672,0.5867,0.7197,20.22,12.1,9.58,8.71,8.55,59.17,中度混改,正在进行混改
10460275,600916,中国黄金,2024-12-31,1680000000.0,,1680000000.0,,,4.0,1,13.01,59.64,0.2181,33.8274,27.9005,0.6466,0.6369,17.13,14.38,10.16,7.89,9.61,59.17,中度混改,正在进行混改
10310684,688629,华丰科技,2025-12-31,460992831.0,279209784.0,181783047.0,192053560.0,41.6609,2.0,1,19.1,60.76,0.3144,60.4239,45.8473,0.5689,0.6225,20.43,7.26,12.02,9.44,10.01,59.16,中度混改,正在进行混改
106261,600579,克劳斯,2024-12-31,494712359.0,,494712359.0,,,3.0,1,17.0,65.62,0.2591,39.1705,34.965,0.6014,0.6698,19.14,11.67,10.37,8.61,9.31,59.1,中度混改,正在进行混改
106391,600809,山西汾酒,2024-12-31,1219964222.0,,1219964222.0,,,3.0,1,20.41,77.74,0.2625,36.0282,35.6009,0.5818,0.7443,20.62,12.32,9.31,8.67,8.14,59.06,中度混改,正在进行混改
101950,002522,浙江众成,2024-12-31,905779387.0,759508.0,905019879.0,,,2.0,1,14.11,39.11,0.3608,56.44,56.44,0.5388,0.6539,18.62,7.54,13.73,10.11,9.0,59.01,中度混改,正在进行混改
10189,600850,电科数字,2024-12-31,685620517.0,72517780.0,613102737.0,59354761.0,8.6571,3.0,1,12.08,50.84,0.2376,59.1287,31.1662,0.6229,0.6507,16.87,11.52,12.4,8.26,9.95,59.01,中度混改,正在进行混改
107871,600559,老白干酒,2024-12-31,914747444.0,10476000.0,904271444.0,,,3.0,1,10.83,37.35,0.29,43.0788,40.8371,0.5766,0.6792,16.71,11.76,12.83,9.09,8.57,58.96,中度混改,正在进行混改
10362368,688334,西高院,2025-12-31,316579466.0,159674768.0,156904698.0,155266371.0,49.045,4.0,1,16.48,70.78,0.2328,37.0837,30.3499,0.6337,0.6257,18.73,14.29,9.6,8.16,8.06,58.83,中度混改,正在进行混改
105937,600265,景谷林业,2024-12-31,129800000.0,0.0,129800000.0,,,2.0,1,71.04,71.04,1.0,129.1636,,0.8285,0.3134,30.0,4.61,11.89,7.5,4.73,58.73,中度混改,正在进行混改
103022,600678,四川金顶,2024-12-31,348990000.0,0.0,348990000.0,,,2.0,1,24.99,24.99,1.0,121.9024,,0.7052,0.4709,25.71,6.0,14.87,7.5,4.63,58.71,中度混改,正在进行混改
105082,300290,荣科科技,2024-12-31,639732569.0,510600.0,639221969.0,,,3.0,1,23.94,23.94,1.0,119.6402,,0.8199,0.3544,25.26,9.02,14.0,7.5,2.91,58.69,中度混改,正在进行混改
10143373,600032,浙江新能,2024-12-31,2404675324.0,,2404675324.0,,,4.0,1,21.45,85.61,0.2506,35.8216,33.432,0.6169,0.6319,20.98,14.34,8.41,8.51,6.11,58.35,中度混改,正在进行混改
10106951,002716,湖南白银,2025-12-31,2823088646.0,498234416.0,2324854230.0,480848641.0,17.0327,3.0,1,10.17,43.86,0.2319,68.2093,30.187,0.6223,0.6782,16.02,11.75,13.32,8.14,9.11,58.33,中度混改,正在进行混改
106033,002939,长城证券,2025-12-31,4034426956.0,431767325.0,3602659631.0,431767325.0,10.7021,4.0,1,16.56,74.84,0.2213,35.5899,28.4146,0.637,0.68,18.68,14.77,9.13,7.95,7.76,58.28,中度混改,正在进行混改
106167,600773,西藏城投,2025-12-31,951586865.0,,951586865.0,,,4.0,1,10.59,51.74,0.2047,25.7351,25.7351,0.656,0.6655,16.0,14.63,10.02,7.65,9.88,58.17,中度混改,正在进行混改
105047,601398,工商银行,2025-12-31,356406257089.0,,356406257089.0,,,3.0,1,25.32,95.67,0.2647,72.7795,35.9915,0.6073,0.6095,22.74,11.17,9.85,8.73,5.46,57.95,中度混改,正在进行混改
106307,600715,文投控股,2025-12-31,4059853500.0,1197481259.0,2862372241.0,,,3.0,1,13.46,60.29,0.2233,68.2902,28.7423,0.6415,0.6198,17.36,11.24,11.88,7.99,9.47,57.94,中度混改,正在进行混改
105862,600356,恒丰纸业,2025-12-31,298731378.0,,298731378.0,,,3.0,1,10.02,39.95,0.2508,33.4781,33.4781,0.5942,0.7313,16.09,12.2,12.05,8.51,9.06,57.91,中度混改,正在进行混改
104873,600018,上港集团,2025-12-31,23279960504.0,33242154.0,23246718350.0,,,2.0,1,28.54,91.2,0.3129,100.8124,45.5474,0.57,0.6214,24.47,7.25,10.93,9.42,5.83,57.89,中度混改,正在进行混改
106142,600649,城投控股,2025-12-31,2504500768.0,,2504500768.0,,,5.0,1,10.29,57.22,0.1798,21.9263,21.9263,0.6869,0.649,15.69,16.5,8.94,7.07,9.69,57.89,中度混改,正在进行混改
10845,600984,建设机械,2024-12-31,1257043925.0,,1257043925.0,,,3.0,1,11.88,46.99,0.2528,40.1623,33.8365,0.6157,0.6184,16.9,11.23,11.82,8.54,9.29,57.78,中度混改,正在进行混改
106205,600502,安徽建工,2025-12-31,1716533938.0,,1716533938.0,,,4.0,1,10.01,47.72,0.2098,29.3204,26.5447,0.655,0.6368,15.79,14.38,10.69,7.73,9.16,57.75,中度混改,正在进行混改
101478,000605,渤海股份,2024-12-31,352658600.0,,352658600.0,,,3.0,1,11.4,51.69,0.2205,50.7569,28.2949,0.6388,0.6474,16.46,11.48,11.82,7.93,9.92,57.62,中度混改,正在进行混改
105029,600035,楚天高速,2024-12-31,1610115901.0,,1610115901.0,,,5.0,1,11.67,65.63,0.1778,31.0043,21.6271,0.6883,0.6647,16.27,16.62,9.17,6.99,8.55,57.6,中度混改,正在进行混改
105987,600288,大恒科技,2024-12-31,436800000.0,0.0,436800000.0,,,2.0,1,38.17,38.17,1.0,128.3025,,0.9376,0.1424,30.0,3.31,13.61,7.5,2.89,57.31,中度混改,正在进行混改
102445,002149,西部材料,2024-12-31,488214274.0,75000.0,488139274.0,,,2.0,1,15.0,52.58,0.2853,60.778,39.9148,0.5922,0.5979,18.47,7.08,12.54,9.01,10.18,57.27,中度混改,正在进行混改
103009,601988,中国银行,2025-12-31,322212411814.0,27824620573.0,294387791241.0,27824620573.0,8.6355,3.0,1,26.04,96.29,0.2704,44.4444,37.0676,0.6043,0.5959,23.09,11.07,8.7,8.82,5.42,57.09,中度混改,正在进行混改
103024,601628,中国人寿,2025-12-31,28264705000.0,0.0,28264705000.0,,,3.0,1,26.44,97.78,0.2704,38.6719,37.062,0.6036,0.6018,23.26,11.11,8.38,8.81,5.45,57.02,中度混改,正在进行混改
106012,600082,海泰发展,2024-12-31,646115826.0,11780414.0,634335412.0,,,3.0,1,10.07,39.27,0.2564,41.4574,34.4863,0.6097,0.6366,16.15,11.38,12.51,8.58,8.33,56.95,中度混改,正在进行混改
10496563,688569,铁科轨道,2025-12-31,210666700.0,,210666700.0,,,4.0,1,16.25,80.3,0.2024,61.9048,25.3708,0.6605,0.6454,18.41,14.46,9.91,7.59,6.58,56.94,中度混改,正在进行混改
106351,600784,鲁银投资,2024-12-31,675652277.0,107474431.0,568177846.0,79065539.0,11.7021,3.0,1,10.51,46.36,0.2267,33.1965,29.3166,0.6239,0.6915,16.12,11.87,11.34,8.03,9.53,56.89,中度混改,正在进行混改
101752,000625,长安汽车,2025-12-31,9914086060.0,12356878.0,9901729182.0,,,3.0,1,10.02,47.32,0.2117,55.6976,26.8633,0.645,0.6573,15.81,11.57,12.39,7.77,9.3,56.83,中度混改,正在进行混改
10513766,301262,海看股份,2024-12-31,417000000.0,294924608.0,122075392.0,290180387.0,69.5876,5.0,1,20.55,90.26,0.2277,29.5301,29.4793,0.6446,0.5803,20.43,15.92,7.39,8.06,4.99,56.8,中度混改,正在进行混改
10113824,603100,川仪股份,2025-12-31,513173176.0,3172617.0,510000559.0,,,4.0,1,11.12,60.26,0.1845,37.1782,22.6292,0.6838,0.6157,16.08,14.21,10.12,7.21,9.1,56.72,中度混改,正在进行混改
103475,600875,东方电气,2025-12-31,3458360326.0,786993731.0,2671366595.0,786993731.0,22.7563,4.0,1,14.34,68.71,0.2087,27.9151,26.3748,0.6565,0.6254,17.64,14.28,8.86,7.72,8.16,56.67,中度混改,正在进行混改
105128,600084,中信尼雅,2024-12-31,1123726830.0,,1123726830.0,,,2.0,1,19.43,66.19,0.2935,43.245,41.5526,0.5852,0.6053,20.42,7.14,10.69,9.15,9.03,56.43,中度混改,正在进行混改
106451,600769,祥龙电业,2024-12-31,374977200.0,0.0,374977200.0,,,2.0,1,11.31,32.22,0.351,56.3247,54.089,0.5444,0.6481,17.35,7.49,13.68,9.96,7.93,56.42,中度混改,正在进行混改
10138284,603637,镇海股份,2025-12-31,238685877.0,,238685877.0,,,2.0,1,11.12,32.34,0.3438,65.8768,52.4034,0.5488,0.6436,17.22,7.44,14.02,9.85,7.88,56.41,中度混改,正在进行混改
10108332,300579,数字认证,2025-12-31,270000000.0,9526721.0,260473279.0,,,4.0,1,10.82,61.3,0.1765,41.2348,21.4342,0.6915,0.632,15.9,14.34,10.25,6.95,8.97,56.4,中度混改,正在进行混改
10383392,920402,硅烷科技,2025-12-31,422060067.0,149186790.0,272873277.0,,,3.0,1,16.7,71.6,0.2332,47.2419,30.4189,0.631,0.6278,18.82,11.31,10.1,8.18,7.98,56.39,中度混改,正在进行混改
10147724,688009,中国通号,2025-12-31,10589819000.0,,10589819000.0,,,3.0,1,22.06,85.66,0.2575,35.3186,34.6855,0.6041,0.6624,21.29,11.6,8.47,8.6,6.38,56.33,中度混改,正在进行混改
10939,601179,中国西电,2025-12-31,5125882352.0,,5125882352.0,,,4.0,1,13.35,65.43,0.204,25.7374,25.6336,0.6655,0.6029,17.18,14.11,8.86,7.64,8.45,56.24,中度混改,正在进行混改
